Date,Open,High,Low,Close,Change,Volume
2021-09-23 10:45:00,20900,21050,20900,21050,0,146730000
2021-09-23 10:30:00,21000,21000,20900,20900,0,98150000
2021-09-23 10:15:00,21250,21250,20650,20900,0,607280000
2021-09-23 10:00:00,21300,21300,21200,21250,0,97020000
2021-09-23 09:45:00,21250,21300,21150,21250,0,215170000
2021-09-23 09:30:00,21450,21450,21150,21150,0,424930000
2021-09-23 09:15:00,21450,21500,20100,21450,0,1021140000
2021-09-17 15:30:00,21800,21850,21600,21600,0,550540000
2021-09-17 15:15:00,21850,21900,21800,21800,0,95920000
2021-09-17 15:00:00,21850,21900,21800,21800,0,78540000
2021-09-17 14:45:00,21850,21900,21800,21850,0,146880000
2021-09-17 14:30:00,21850,21900,21850,21850,0,62010000
2021-09-17 14:15:00,21800,21900,21800,21850,0,60850000
2021-09-17 14:00:00,21900,21900,21800,21800,0,68560000
2021-09-17 13:45:00,21800,21900,21800,21800,0,63420000
2021-09-17 13:30:00,21850,21850,21800,21850,0,43710000
2021-09-17 13:15:00,21850,21850,21800,21800,0,41770000
2021-09-17 13:00:00,21850,21850,21750,21800,0,74250000
2021-09-17 12:45:00,21900,21900,21800,21850,0,64460000
2021-09-17 12:30:00,21800,21900,21800,21850,0,64350000
2021-09-17 12:15:00,21800,21950,21800,21850,0,191950000
2021-09-17 12:00:00,21700,21850,21700,21850,0,262180000
2021-09-17 11:45:00,21750,21750,21650,21750,0,65890000
2021-09-17 11:30:00,21650,21750,21650,21700,0,67900000
2021-09-17 11:15:00,21650,21750,21600,21700,0,69100000
