code,name,section
A003535,한화투자증권우,KOSPI
A003540,대신증권,KOSPI
A003545,대신증권우,KOSPI
A003547,대신증권2우B,KOSPI
A003550,LG,KOSPI
A003555,LG우,KOSPI
A003560,IHQ,KOSPI
A003570,SNT중공업,KOSPI
A003580,넥스트사이언스,KOSPI
A003610,방림,KOSPI
A003620,쌍용차,KOSPI
A003650,미창석유,KOSPI
A003670,포스코케미칼,KOSPI
A003680,한성기업,KOSPI
A003690,코리안리,KOSPI
A003720,삼영화학,KOSPI
A003780,진양산업,KOSPI
A003830,대한화섬,KOSPI
A003850,보령제약,KOSPI
A003920,남양유업,KOSPI
A003925,남양유업우,KOSPI
A003960,사조대림,KOSPI
A004000,롯데정밀화학,KOSPI
A004020,현대제철,KOSPI
A004060,SG세계물산,KOSPI
A004080,신흥,KOSPI
A004090,한국석유,KOSPI
A004100,태양금속,KOSPI
A004105,태양금속우,KOSPI
A004140,동방,KOSPI
A004150,한솔홀딩스,KOSPI
A004170,신세계,KOSPI
A004250,NPC,KOSPI
A004255,NPC우,KOSPI
A004270,남성,KOSPI
A004310,현대약품,KOSPI
A004360,세방,KOSPI
A004365,세방우,KOSPI
A004370,농심,KOSPI
A004380,삼익THK,KOSPI
A004410,서울식품,KOSPI
A004415,서울식품우,KOSPI
A004430,송원산업,KOSPI
A004440,삼일씨엔에스,KOSPI
A004450,삼화왕관,KOSPI
A004490,세방전지,KOSPI
A004540,깨끗한나라,KOSPI
A004545,깨끗한나라우,KOSPI
A004560,현대비앤지스틸,KOSPI
A004565,현대비앤지스틸우,KOSPI
A004690,삼천리,KOSPI
A004700,조광피혁,KOSPI
A004710,한솔테크닉스,KOSPI
A004720,팜젠사이언스,KOSPI
A004770,써니전자,KOSPI
A004800,효성,KOSPI
A004830,덕성,KOSPI
A004835,덕성우,KOSPI
A004840,DRB동일,KOSPI
A004870,티웨이홀딩스,KOSPI
A004890,동일산업,KOSPI
A004910,조광페인트,KOSPI
A004920,씨아이테크,KOSPI
A004960,한신공영,KOSPI
A004970,신라교역,KOSPI
A004980,성신양회,KOSPI
A004985,성신양회우,KOSPI
A004990,롯데지주,KOSPI
A00499K,롯데지주우,KOSPI
A005010,휴스틸,KOSPI
A005030,부산주공,KOSPI
A005070,코스모신소재,KOSPI
A005090,SGC에너지,KOSPI
A005110,한창,KOSPI
A005180,빙그레,KOSPI
A005250,녹십자홀딩스,KOSPI
A005257,녹십자홀딩스2우,KOSPI
A005300,롯데칠성,KOSPI
A005305,롯데칠성우,KOSPI
A005320,국동,KOSPI
A005360,모나미,KOSPI
A005380,현대차,KOSPI
A005385,현대차우,KOSPI
A005387,현대차2우B,KOSPI
A005389,현대차3우B,KOSPI
A005390,신성통상,KOSPI
A005420,코스모화학,KOSPI
A005430,한국공항,KOSPI
A005440,현대그린푸드,KOSPI
A005490,POSCO,KOSPI
A005500,삼진제약,KOSPI
A005610,SPC삼립,KOSPI
A005680,삼영전자,KOSPI
A005690,파미셀,KOSPI
